Job Code,Date Accessed,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Keyword
819625000,2024-12-08,https://www.usajobs.gov/job/819625000,Aerospace Engineer (Electrical),Department of Transportation,FV J,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV J,Permanent,Full-time,Excepted,NA,No,Secret,Yes,108601,168362,Data Engineer
819625100,2024-12-08,https://www.usajobs.gov/job/819625100,Aerospace Engineer (Electrical),Department of Transportation,FV J,Yes—as determined by the agency policy.,"Occasional travel - The job may require travel from time-to-time, but not on a regular basis. The travel may be for training or other work-related duties.",No,FV J,Permanent,Full-time,Excepted,NA,No,Secret,Yes,108601,168362,Data Engineer
819641100,2024-12-08,https://www.usajobs.gov/job/819641100,General Engineer (Lead Engineer),Department of Transportation,FV J,Yes—as determined by the agency policy.,76% or greater - The job may require 76% or more travel.,No,FV J,"Temporary - Temporary NTE - 2 years; may be extended, terminated or made perm",Full-time,Excepted,NA,No,Other,No,92964,144121,Data Engineer
819651500,2024-12-08,https://www.usajobs.gov/job/819651500,Engineering Equipment Operator,Department of Transportation,FW 10 - 11,No,76% or greater - The job may require 76% or more travel.,No,FW 10 - 11,Permanent,Full-time,Excepted,NA,No,Other,Yes,31.36,39.29,Data Engineer
819651900,2024-12-08,https://www.usajobs.gov/job/819651900,Engineering Equipment Operator,Department of Transportation,FW 10 - 11,No,76% or greater - The job may require 76% or more travel.,No,FW 10 - 11,Permanent,Full-time,Excepted,NA,No,Other,Yes,31.36,39.29,Data Engineer
819675700,2024-12-08,https://www.usajobs.gov/job/819675700,Supervisory Environmental Engineer,Department of Health and Human Services,GS 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,13,Yes,Confidential,No,116811,151858,Data Engineer
819676900,2024-12-08,https://www.usajobs.gov/job/819676900,Engineering Equipment Operator,Department of the Interior,WG 8,No,No,Not required,No,"Temporary - 1039 hours, he typical seasonal entry-on-duty period is March through September but can be variable during these months due to weather conditions, project needs, or funding. Anticipated Entry on Duty: Mid-May.",Full-time - You may be required to work overtime.,Competitive,None,No,Not Required,Yes,30.55,35.65,Data Engineer
819678800,2024-12-08,https://www.usajobs.gov/job/819678800,Electronics Engineer,Department of Commerce,ZP 4,No,Yes—as determined by the agency policy.,"Occasional travel - Domestic and International Conferences, Scientific Collaboration, Facility Sharing, and Training",No,Term - 2 years,Full-time,Competitive,4,No,Not Required,No,114970,176620,Data Engineer
819682500,2024-12-08,https://www.usajobs.gov/job/819682500,Management and Program Analyst - DIRECT HIRE,Department of Transportation,GS 07 - 12,No,Yes—As determined by the agency policy.,Occasional travel - Travel may or may not be required. The amount of travel required varies by position and location.,"Yes—Varies by position. Recruitment, relocation, or retention incentives (PCS) are determined by the hiring agency and may or may not be authorized.","Multiple Appointment Types - Appointment Type Details: Appointment Types vary depending on position (Permanent, Temporary, Term, etc.)","Multiple Schedules - Work Schedules vary depending on position (Full-time, Part-time, Intermittent, etc.)",Competitive,12,No,Other,No,49025,140713,Data Analyst
819683900,2024-12-08,https://www.usajobs.gov/job/819683900,Civil Engineer - DIRECT HIRE,Department of Transportation,GS 12 - 13,No,Yes—As determined by the agency policy.,Occasional travel - Travel may or may not be required. The amount of travel required varies by position and location.,"Yes—Varies by position. Recruitment, relocation, or retention incentives (PCS) are determined by the hiring agency and may or may not be authorized.","Permanent - Permanent, temporary and term positions can be filled using this announcement.",Full-time - Full Time,Competitive,13,No,Other,No,86962,167336,Data Engineer
819692400,2024-12-08,https://www.usajobs.gov/job/819692400,Supervisory General Engineer,Department of Homeland Security,GS 13,No,No,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,None,Yes,Not Required,No,113792,147934,Data Engineer
819713100,2024-12-08,https://www.usajobs.gov/job/819713100,SUPERVISORY PROGRAM ANALYST,Department of the Army,GG 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Excepted,None,No,Top Secret,Yes,103409,134435,Data Analyst
819713300,2024-12-08,https://www.usajobs.gov/job/819713300,SUPERVISORY PROGRAM ANALYST,Department of the Army,GG 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Excepted,None,No,Top Secret,Yes,103409,134435,Data Analyst
819719100,2024-12-08,https://www.usajobs.gov/job/819719100,Engineering Technician,Department of Transportation,FV G,Yes—Telework will be up to the discretion of your supervisor.,76% or greater - The job may require 76% or more travel.,No,FV G,Permanent,Full-time,Excepted,NA,No,Other,Yes,67959,105347,Data Engineer
819719300,2024-12-08,https://www.usajobs.gov/job/819719300,Engineering Technician,Department of Transportation,FV G,Yes—Telework will be up to the discretion of your supervisor.,76% or greater - The job may require 76% or more travel.,No,FV G,Permanent,Full-time,Excepted,NA,No,Other,Yes,67959,105347,Data Engineer
819719700,2024-12-08,https://www.usajobs.gov/job/819719700,INTERDISCIPLINARY SCIENTIST / ENGINEER,Department of the Navy,DP 6,No,"Yes—This position may be eligible for situational/ad hoc telework, routine telework, or remote work at the discretion of management.",Occasional travel - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS may be authorized.,Permanent,Full-time,Competitive,None,No,Top Secret,Yes,192211,204000,"Data Engineer, Data Scientist"
